rail-berkeley/softlearning
CyberZHG/keras-bert
shijieS/SST
YerevaNN/mimic3-benchmarks
apple/coremltools
jfzhang95/DeepGrabCut-PyTorch
kk7nc/RMDL
kk7nc/HDLTex
Kamnitsask/deepmedic
IDSIA/sacred
tensorlayer/tensorlayer
tensorlayer/openpose-plus
tensorlayer/srgan
KhronosGroup/NNEF-Tools
librosa/librosa
yeephycho/tensorflow-face-detection
KrishnaswamyLab/PHATE
mwickert/scikit-dsp-comm
madhug-nadig/Machine-Learning-Algorithms-from-Scratch
danielegrattarola/keras-gat
lmcinnes/umap
lmcinnes/pynndescent
xinntao/BasicSR
sepandhaghighi/pycm
titu1994/DenseNet
titu1994/MLSTM-FCN
WZBSocialScienceCenter/tmtoolkit
dhlab-epfl/dhSegment
intel/webml-polyfill
jindongwang/transferlearning
flow-project/flow
rwth-i6/returnn-experiments
rwth-i6/returnn
wasidennis/AdaptSegNet
googledatalab/pydatalab
pcyin/tranX
auDeep/auDeep
bukun/TorCMS
cuemacro/finmarketpy
nilmtk/nilmtk
ibayer/fastFM
coala/coala-bears
OpenNMT/OpenNMT-py
OpenNMT/OpenNMT-tf
HsinYingLee/DRIT
akanimax/pro_gan_pytorch
kkroening/ffmpeg-python
LCAV/pyroomacoustics
jbms/beancount-import
PaddlePaddle/edl
stanford-mast/nn_dataflow
kimhc6028/relational-networks
chakki-works/doccano
IraKorshunova/folk-rnn
awslabs/deeplearning-cfn
awslabs/mxboard
arogozhnikov/einops
jhpyle/docassemble
mathurinm/celer
bashtage/linearmodels
jfkirk/tensorrec
stanford-futuredata/dawn-bench-entries
macanv/BERT-BiLSTM-CRF-NER
ageitgey/face_recognition
ottogroup/palladium
uber/petastorm
uber/pyro
lyst/lightfm
lyst/rpforest
MrGiovanni/Nested-UNet
dgasmith/opt_einsum
minimaxir/textgenrnn
pyprob/pyprob
codelucas/newspaper
amygdala/code-snippets
michaelhush/M-LOOP
sassoftware/python-dlpy
zalandoresearch/flair
zalandoresearch/fashion-mnist
rtqichen/torchdiffeq
analysiscenter/batchflow
mozilla/bugbug
mozilla/mozregression
mozilla/TTS
luispedro/mahotas
tf-coreml/tf-coreml
idealo/image-super-resolution
jsalt18-sentence-repl/jiant
merbanan/rtl_433_tests
LiyuanLucasLiu/LM-LSTM-CRF
bokeh/bokeh
pandas-dev/pandas
Qiskit/qiskit-aqua
quantumlib/Cirq
rushter/MLAlgorithms
rushter/heamy
LxMLS/lxmls-toolkit
RaRe-Technologies/gensim
bryanyzhu/two-stream-pytorch
elfi-dev/elfi
sloria/TextBlob
BaselAbujamous/clust
DexterInd/GoPiGo3
bsmurphy/PyKrige
divamgupta/image-segmentation-keras
BYU-PRISM/GEKKO
shubhomoydas/ad_examples
hls-fpga-machine-learning/hls4ml
kenshohara/3D-ResNets-PyTorch
MIC-DKFZ/trixi
openeventdata/mordecai
DT42/BerryNet
atulapra/Emotion-detection
floodsung/Deep-Learning-Papers-Reading-Roadmap
thoughtworksarts/EmoPy
sethuiyer/Image-to-Image-Search
MorvanZhou/Reinforcement-learning-with-tensorflow
MorvanZhou/tutorials
mtobeiyf/audio-classification
mtobeiyf/keras-flask-deploy-webapp
brilee/MuGo
bearpaw/pytorch-pose
Rostlab/nalaf
sgrvinod/a-PyTorch-Tutorial-to-Image-Captioning
rasbt/mlxtend
broadinstitute/keras-rcnn
broadinstitute/gtex-pipeline
quadrismegistus/prosodic
tiberiu44/TTS-Cube
chuanqi305/MobileNet-SSD
lanpa/tensorboardX
StanfordVL/taskonomy
DistrictDataLabs/yellowbrick
pyaf/code_for_fun
nicodv/kmodes
Cadene/bootstrap.pytorch
Cadene/pretrained-models.pytorch
adeshpande3/Facebook-Messenger-Bot
civisanalytics/civisml-extensions
DeepPavlov/convai
keithito/tacotron
foxbook/atap
Kaggle/docker-python
Epistimio/orion
ReactionMechanismGenerator/RMG-Py
alexander-rakhlin/ICIAR2018
NeuromorphicProcessorProject/snn_toolbox
linjieyangsc/video_seg
mp2893/doctorai
dickreuter/Poker
GRAAL-Research/pytoune
facebookincubator/ml_sampler
sympy/sympy
anishathalye/neural-style
THUNLP-MT/THUMT
dmbee/seglearn
